circlename,regionname,divisionname,officename,pincode,district,statename,latitude,longitude
Telangana Circle,Hyderabad Region,Hanamkonda Division,Chinnakodepak B.O,506319,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.1650847,79.739306
Telangana Circle,Hyderabad Region,Hanamkonda Division,Pathipak B.O,506319,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.1020054,79.7058414
Telangana Circle,Hyderabad Region,Hanamkonda Division,Pocharam B.O,506319,JAYASHANKAR BHUPALAPALLY,TELANGANA,18.16156,79.7321
Telangana Circle,Hyderabad Region,Hanamkonda Division,Ramtheertham B.O,506350,WARANGAL,TELANGANA,18.04902,79.87659
Telangana Circle,Hyderabad Region,Karimnagar Division,Donthapur B.O,505425,Jagitial,TELANGANA,19.0373464,79.0338275
Telangana Circle,Hyderabad Region,Karimnagar Division,Kothapalli B.O,505304,RAJANNA SIRCILLA,TELANGANA,18.25789,78.584537
Telangana Circle,Hyderabad Region,Karimnagar Division,Mallareddipet B.O,505304,RAJANNA SIRCILLA,TELANGANA,18.324223,78.618594
Telangana Circle,Hyderabad Region,Karimnagar Division,Narmala B.O,505304,RAJANNA SIRCILLA,TELANGANA,18.361539,78.654967
Telangana Circle,Hyderabad Region,Karimnagar Division,Rapalli B.O,505532,Jagitial,TELANGANA,18.81237,79.040666
Telangana Circle,Hyderabad Region,Karimnagar Division,Vemulakurthi B.O,505450,Jagitial,TELANGANA,18.963234,78.599195
Telangana Circle,Hyderabad Region,Karimnagar Division,Maddutla B.O,505452,Jagitial,TELANGANA,18.713857,78.896219
Telangana Circle,Hyderabad Region,Karimnagar Division,Bandapalli B.O,505403,RAJANNA SIRCILLA,TELANGANA,18.527283,78.734078
Telangana Circle,Hyderabad Region,Karimnagar Division,Kalvakota B.O,505453,Jagitial,TELANGANA,18.764121,78.783038
Telangana Circle,Hyderabad Region,Karimnagar Division,Katlakunta B.O,505453,Jagitial,TELANGANA,18.835686,78.811498
Telangana Circle,Hyderabad Region,Karimnagar Division,Mohanraopet B.O,505453,Jagitial,TELANGANA,18.812666,78.779161
Telangana Circle,Hyderabad Region,Karimnagar Division,Chowlamaddi B.O,505325,Jagitial,TELANGANA,18.827968,78.650479
Telangana Circle,Hyderabad Region,Karimnagar Division,Metlachittapur B.O,505325,Jagitial,TELANGANA,18.790415,78.590214
Telangana Circle,Hyderabad Region,Karimnagar Division,Namapur B.O,505404,RAJANNA SIRCILLA,TELANGANA,18.290594,78.672817
Telangana Circle,Hyderabad Region,Karimnagar Division,Mogalpet B.O,505331,Jagitial,TELANGANA,18.965772,78.652271
Telangana Circle,Hyderabad Region,Karimnagar Division,Chittapur B.O,505331,Jagitial,TELANGANA,18.890527,78.695179
Telangana Circle,Hyderabad City Region,Sangareddy Division,Ratnapur B.O,502313,MEDAK,TELANGANA,17.82648522,78.34469554
Telangana Circle,Hyderabad Region,Karimnagar Division,Sataram B.O,505331,Jagitial,TELANGANA,18.901694,78.744764
Telangana Circle,Hyderabad Region,Karimnagar Division,Nakkalapet B.O,505454,Jagitial,TELANGANA,18.971145,79.060268
Telangana Circle,Hyderabad Region,Karimnagar Division,Thumminala B.O,505454,Jagitial,TELANGANA,18.95002,79.062387
Telangana Circle,Hyderabad Region,Karimnagar Division,Chelgal B.O,505455,Jagitial,TELANGANA,18.812997,78.876429
Telangana Circle,Hyderabad Region,Karimnagar Division,Morapalli B.O,505455,Jagitial,TELANGANA,18.827122,78.856666
Telangana Circle,Hyderabad Region,Karimnagar Division,Pembatla Konapur B.O,505529,Jagitial,TELANGANA,18.869963,78.938441
Telangana Circle,Hyderabad Region,Karimnagar Division,Adivipadira B.O,505305,RAJANNA SIRCILLA,TELANGANA,18.508535,78.598831
Telangana Circle,Hyderabad Region,Karimnagar Division,Almaspur B.O,505305,RAJANNA SIRCILLA,TELANGANA,18.429515,78.654342
